date,unit 1,unit 2,unit 3,unit 4,unit 5,unit 6,unit 7,unit 8
2017-03-26T07:25+10,149,150,170,159,173,175,177,170
2017-03-26T07:30+10,150,152,170,160,173,175,176,168
2017-03-26T07:35+10,149,149,170,159,172,174,176,169
2017-03-26T07:40+10,149,150,170,159,173,175,175,169
2017-03-26T07:45+10,149,150,170,159,173,174,176,169
2017-03-26T07:50+10,148,147,169,159,173,175,176,168
2017-03-26T07:55+10,149,150,170,159,173,175,176,169
2017-03-26T08:00+10,149,149,170,159,173,176,175,170
2017-03-26T08:05+10,149,150,169,159,173,177,176,169
2017-03-26T08:10+10,149,151,169,159,174,176,176,169
2017-03-26T08:15+10,148,148,169,159,174,176,175,170
2017-03-26T08:20+10,149,149,168,158,174,177,175,169
2017-03-26T08:25+10,149,152,170,159,174,176,177,169
2017-03-26T08:30+10,149,150,170,159,174,176,175,169
2017-03-26T08:35+10,146,146,170,159,173,176,176,169
2017-03-26T08:40+10,149,150,169,159,174,176,177,169
2017-03-26T08:45+10,148,152,171,159,173,177,177,169
2017-03-26T08:50+10,149,150,169,159,173,176,175,169
2017-03-26T08:55+10,149,151,168,159,173,176,177,169
2017-03-26T09:00+10,150,151,169,159,173,177,177,169
2017-03-26T09:05+10,149,150,169,159,173,176,176,169
2017-03-26T09:10+10,149,149,169,159,173,176,177,170
2017-03-26T09:15+10,149,150,169,160,172,176,176,169
2017-03-26T09:20+10,145,144,169,159,174,176,175,169
2017-03-26T09:25+10,150,150,169,159,172,175,177,169
2017-03-26T09:30+10,149,149,170,160,173,176,176,169
2017-03-26T09:35+10,149,149,170,159,172,176,176,169
2017-03-26T09:40+10,149,150,169,159,173,176,175,169
2017-03-26T09:45+10,148,149,170,159,172,177,174,169
2017-03-26T09:50+10,148,149,169,160,172,175,176,170
2017-03-26T09:55+10,149,149,169,159,172,177,176,169
2017-03-26T10:00+10,149,150,169,160,172,177,177,168
2017-03-26T10:05+10,149,152,169,160,173,176,178,169
2017-03-26T10:10+10,149,150,170,160,173,176,176,170
2017-03-26T10:15+10,146,146,171,159,173,176,175,170
2017-03-26T10:20+10,149,149,170,159,174,175,175,170
2017-03-26T10:25+10,148,148,169,159,173,175,175,169
2017-03-26T10:30+10,149,150,169,159,173,176,176,170
2017-03-26T10:35+10,149,152,170,159,173,176,177,170
2017-03-26T10:40+10,149,150,169,159,173,176,176,170
2017-03-26T10:45+10,149,150,170,159,172,176,176,170
2017-03-26T10:50+10,143,143,169,159,173,175,175,170
2017-03-26T10:55+10,149,150,170,159,173,175,177,170
2017-03-26T11:00+10,149,150,170,159,173,176,176,168
2017-03-26T11:05+10,149,150,169,159,173,177,175,169
2017-03-26T11:10+10,149,149,170,157,174,176,176,168
2017-03-26T11:15+10,149,149,170,159,173,176,175,168
2017-03-26T11:20+10,147,148,170,159,174,176,176,169
2017-03-26T11:25+10,149,150,169,159,173,176,176,168
2017-03-26T11:30+10,145,145,169,160,173,176,175,170
2017-03-26T11:35+10,149,150,169,159,173,176,176,168
2017-03-26T11:40+10,145,144,169,159,173,175,174,170
2017-03-26T11:45+10,149,152,169,159,173,176,175,169
2017-03-26T11:50+10,149,152,170,159,173,177,176,168
2017-03-26T11:55+10,149,150,169,159,174,176,176,169
2017-03-26T12:00+10,149,152,170,159,173,176,177,169
2017-03-26T12:05+10,149,151,169,159,174,176,177,169
2017-03-26T12:10+10,149,150,169,159,174,175,177,169
2017-03-26T12:15+10,149,151,169,158,174,175,177,169
2017-03-26T12:20+10,149,149,170,159,174,175,175,169
2017-03-26T12:25+10,149,150,170,159,174,176,176,169
2017-03-26T12:30+10,148,149,169,159,173,175,175,169
2017-03-26T12:35+10,149,150,169,159,174,176,175,169
2017-03-26T12:40+10,148,149,169,159,173,176,176,169
2017-03-26T12:45+10,149,151,169,159,173,175,176,169
2017-03-26T12:50+10,149,149,169,159,173,176,176,169
2017-03-26T12:55+10,149,149,169,159,173,176,175,169
2017-03-26T13:00+10,149,151,169,159,173,176,175,169
2017-03-26T13:05+10,148,150,169,158,174,175,176,169
2017-03-26T13:10+10,147,148,168,158,173,176,175,169
2017-03-26T13:15+10,149,149,170,159,173,175,176,170
2017-03-26T13:20+10,148,149,169,159,173,175,175,169
2017-03-26T13:25+10,149,152,169,159,173,175,175,170
2017-03-26T13:30+10,145,145,169,159,173,175,175,169
2017-03-26T13:35+10,147,147,169,159,173,176,176,168
2017-03-26T13:40+10,149,150,169,159,173,177,176,170
2017-03-26T13:45+10,149,151,170,158,173,177,177,170
2017-03-26T13:50+10,148,152,169,159,173,177,176,164
2017-03-26T13:55+10,149,151,169,159,173,176,176,165
2017-03-26T14:00+10,148,149,170,159,173,175,175,167
2017-03-26T14:05+10,148,150,169,160,173,175,176,166
2017-03-26T14:10+10,149,151,169,160,173,175,176,166
2017-03-26T14:15+10,149,152,170,160,173,176,176,165
2017-03-26T14:20+10,149,149,169,159,173,176,176,165
2017-03-26T14:25+10,148,150,170,159,173,176,176,168
2017-03-26T14:30+10,150,150,169,159,174,177,175,167
2017-03-26T14:35+10,149,152,170,158,173,177,176,167
2017-03-26T14:40+10,149,152,171,160,174,176,177,168
2017-03-26T14:45+10,149,152,170,159,174,176,176,167
2017-03-26T14:50+10,148,148,169,159,174,176,175,167
2017-03-26T14:55+10,149,150,170,159,174,177,176,168
2017-03-26T15:00+10,147,147,169,159,174,177,175,167
2017-03-26T15:05+10,149,150,170,159,174,176,176,167
2017-03-26T15:10+10,143,142,169,159,174,176,174,168
2017-03-26T15:15+10,149,149,170,159,174,176,175,167
2017-03-26T15:20+10,149,152,170,159,174,177,177,168
2017-03-26T15:25+10,147,148,169,159,174,175,175,168
2017-03-26T15:30+10,150,148,170,159,174,176,176,167
2017-03-26T15:35+10,150,152,170,160,174,174,176,169
